#SOCIAL
#SOCIAL
Name        bow~
CharNoArg   You bow deeply.~
OthersNoArg $n bows deeply.~
CharFound   You bow before $M.~
OthersFound $n bows before $N.~
VictFound   $n bows before you.~
CharAuto    You kiss your toes.~
OthersAuto  $n folds up like a jacknife and kisses $s own toes.~
NotFound    Who's that?~
End

#SOCIAL
Name        burp~
CharNoArg   You burp loudly.~
OthersNoArg $n burps loudly.~
CharFound   You burp loudly in $S face.~
OthersFound $n burps loudly in $N's face.~
VictFound   $n burps in your face, how rude!        ~
CharAuto    You let out a loud burp and smell the fumes.~
OthersAuto  $n attempts to burp on $mself.~
NotFound    So much gas, nobody to burp on.~
End

#SOCIAL
Name        cackle~
CharNoArg   You cackle gleefully.~
OthersNoArg $n throws back $s head and cackles with insane glee!~
CharFound   You spitefully cackle right in $S face.~
OthersFound $n cackles spitefully at $N.~
VictFound   $n cackles patronizingly right in your face!~
CharAuto    You patronize yourself down to the boots, he he he.~
OthersAuto  $n seems to hate $s own guts.~
NotFound    Hmmm, no-one here answering to that name, Schmuck!~
End

#SOCIAL
Name        calm~
CharNoArg   Who needs to be calmed down?~
OthersNoArg $n looks around for someone to calm down.~
CharFound   You attempt to calm $M down.~
OthersFound $n attempts to calm $N down.~
VictFound   $n attempts to calm you down.~
CharAuto    You attempt to calm yourself down, deep breaths, in and out, in and out.~
OthersAuto  $n attempts to calm $mself down.~
NotFound    Relax...  They aren't even here.~
End

#SOCIAL
Name        caress~
CharNoArg   Who would you like to caress?~
OthersNoArg $n looks around for someone to caress.~
CharFound   You softly caress $S body.~
OthersFound $n softly caresses $N's body.~
VictFound   $n softly caresses your body.~
CharAuto    You softly caress your body.~
OthersAuto  $n softly caresses $mself, interesting.~
NotFound    Alas, their body is not present to caress.~
End

#SOCIAL
Name        cears~
CharNoArg   You cover your ears.~
OthersNoArg $n covers $s ears.~
CharFound   You cover your ears and refuse to listen to $M.~
OthersFound $n covers $s ears and refuses to listen to $N.~
VictFound   $n covers $s ears and refuses to listen to you.~
CharAuto    Just don't talk if you don't want to hear yourself!~
OthersAuto  $n covers $s ears and refuses to listen to $mself, wierdo!~
NotFound    You aren't listening to them anyways because they aren't here.~
End

#SOCIAL
Name        ceyes~
CharNoArg   You cover your eyes.~
OthersNoArg $n covers $s eyes.~
CharFound   You cover your eyes and refuse to look at $M.~
OthersFound $n covers $s eyes and refuses to look at $N.~
VictFound   $n covers $s eyes and refuses to look at you.~
CharAuto    You cover your eyes and refuse to look at your reflection in the mirror.~
OthersAuto  $n holds up a mirror to $s face and covers $s eyes, can you blame $m?~
NotFound    You aren't looking at them anyways for they aren't here.~
End

#SOCIAL
Name        chant~
CharNoArg   You mumble something to yourself.~
OthersNoArg $n mumbles something to $mself.~
CharAuto    You mumble something completely meaningless.~
OthersAuto  $n mumbles to $mself, words you do not understand.~
End

#SOCIAL
Name        cheer~
CharNoArg   You make a whole lot of noise cheering!~
OthersNoArg $n cheers!~
CharFound   You happily cheer for $N.~
OthersFound $n cheers for $N.~
VictFound   $n cheers for you happily!~
CharAuto    You cheer for yourself, yahoo!~
OthersAuto  $n cheers for $mself? What an ego!~
NotFound    You try and cheer for them, but that person is not here.~
End

#SOCIAL
Name        chide~
CharNoArg   You chide the Gods.~
OthersNoArg A dark cloud hovers over $n head.~
CharFound   You chide $M gently.~
OthersFound $n chides $N gently.~
VictFound   $n chides you gently.~
CharAuto    You chide yourself for thinking such a thing.~
OthersAuto  $n chides $mself for thinking such a thing.~
NotFound    WHO??~
End

#SOCIAL
Name        chuckle~
CharNoArg   You chuckle politely.~
OthersNoArg $n chuckles politely.~
CharFound   You chuckle at $S actions.~
OthersFound $n chuckles at $N's actions.~
VictFound   $n chuckles at your actions.~
CharAuto    You chuckle at your amazing wit.~
OthersAuto  $n chuckles at $mself, hmm $n must be up to something!~
NotFound    HEHEHE HAHAHA, its so funny that the person decided to leave!~
End

#SOCIAL
Name        clap~
CharNoArg   You clap your hands together.~
OthersNoArg $n shows $s approval by clapping $s hands together.~
CharFound   You clap your hands in approval at $M.~
OthersFound $n claps $s hands in approval at $N.~
VictFound   $n claps $s hands in approval at you.~
CharAuto    You clap your hands in approval at yourself, hurray for you!~
OthersAuto  $n claps $s hands in approval for $mself, what a sad person.~
NotFound    Where are people when you need them?~
End

#SOCIAL
Name        comb~
CharNoArg   You comb your hair - perfect.~
OthersNoArg $n combs $s hair, what a dashing specimen !~
CharFound   You patiently untangle $N's hair - what a mess !~
OthersFound $n tries patiently to untangle $N's hair.~
VictFound   $n pulls your hair in an attempt to comb it.~
CharAuto    You pull your hair, but it will not be combed.~
OthersAuto  $n tries to comb $s tangled hair.~
NotFound    That person is not here.~
End

#SOCIAL
Name        comfort~
CharNoArg   Does someone need comforting?~
OthersNoArg $n looks for someone to comfort.~
CharFound   You comfort $M.~
OthersFound $n comforts $N.~
VictFound   $n comforts you.~
CharAuto    You make a vain attempt to comfort yourself.~
OthersAuto  $n tries in vain to comfort $mself, awww poor fellow.~
NotFound    Comfort who?~
End

#SOCIAL
Name        compliment~
CharNoArg   Compliment?  That's sweet.  But who?~
OthersNoArg $n looks around for someone to compliment, how about you?~
CharFound   You compliment $M on $S good taste.~
OthersFound $n compliments $N's good taste.~
VictFound   $n compliments your good taste.~
CharAuto    You compliment your good taste.~
OthersAuto  $n compliments $s own good taste, since nobody else will!~
NotFound    Well, that's nice and all but they aren't here.~
End

#SOCIAL
Name        confess~
CharNoArg   You kneel down and confess your sins to the gods!~
OthersNoArg $n kneels down and confesses $s sins to the gods!~
CharFound   You confess your deepest secrets to $M.~
OthersFound $n confesses $s deepest secrets to $N.~
VictFound   $n confesses $s deepest secrets to you!~
CharAuto    You contemplate the mistakes you have made in life.~
OthersAuto  $n contemplates the mistakes $e has made in life.~
NotFound    Alas, they are not here to confess to.~
End

#SOCIAL
Name        console~
CharNoArg   Ok!  Let's see here...  Who needs to be consoled?~
OthersNoArg $n looks around the room for some poor soul to console.~
CharFound   You console $M and try to make $M feel better.~
OthersFound $n consoles $N and tries to make $M feel better.~
VictFound   $n consoles you and tries to make you feel better.~
CharAuto    Oh, what's wrong?  *console*~
OthersAuto  $n tries in vain to console $mself, how pitifull.~
NotFound    Don't worry!  They aren't here to console...~
End

#SOCIAL
Name        cough~
CharNoArg   Yuck, try to cover your mouth next time !~
OthersNoArg $n coughs loudly.~
CharFound   You cough loudly in $S face.~
OthersFound $n coughs loudly in $N's face.~
VictFound   $n coughs loudly in your face, ewwwww!~
CharAuto    You try to cough in your face, but it gets stuck and you almost choke!~
OthersAuto  $n turns blue for a bit, gasping for air.~
NotFound    You better make sure that person is here first.~
End

#SOCIAL
Name        cower~
CharNoArg   You cower in fear.~
OthersNoArg $n cowers in fear.~
CharFound   You cower in fear before $S wrath.~
OthersFound $n cowers in fear before $N's wrath.~
VictFound   $n cowers in fear before your wrath.~
CharAuto    You cower in fear of yourself?~
OthersAuto  $n seems to be afraid of $mself.~
NotFound    No need to fear!  They aren't here!~
End

#SOCIAL
Name        cringe~
CharNoArg   You cringe in terror.~
OthersNoArg $n cringes in terror!~
CharFound   You cringe away from $M.~
OthersFound $n cringes away from $N in mortal terror.~
VictFound   $n cringes away from you.~
CharAuto    If YOU get that frightened, think about the rest of the world!~
OthersAuto  $n slowly crumples into nothingness, in fear of $mself.~
NotFound    I don't see anyone by that name here.. who are you afraid of?~
End

#SOCIAL
Name        cross~
CharNoArg   You cross your fingers and pray for the best.~
OthersNoArg $n crosses $s fingers and prays.~
CharFound   You cross your fingers and pray for $M.~
OthersFound $n crosses $s fingers and prays for $N.~
VictFound   $n crosses $s fingers and prays for you.~
CharAuto    You cross your fingers and pray for yourself.~
OthersAuto  $n crosses $s fingers and prays for $mself.~
NotFound    Ah, but they are not here.~
End

#SOCIAL
Name        cry~
CharNoArg   Waaaaah..~
OthersNoArg $n bursts into tears.~
CharFound   You cry on $S shoulder.~
OthersFound $n cries on $N's shoulder.~
VictFound   $n cries on your shoulder.~
CharAuto    You cry to yourself.~
OthersAuto  $n sobs quietly to $mself.~
NotFound    Who's that?~
End

#SOCIAL
Name        cuddle~
CharNoArg   Who do you feel like cuddling today?~
OthersNoArg $n looks around the room for someone to cuddle.~
CharFound   You cuddle $M.~
OthersFound $n cuddles $N.~
VictFound   $n cuddles you.~
CharAuto    You must feel very cuddly indeed..   :)~
OthersAuto  $n cuddles $mself, since noone else will!~
NotFound    Such a nice gesture, but they aren't here.~
End

#SOCIAL
Name        curse~
CharNoArg   You swear loudly for a long time.~
OthersNoArg $n swears: #@*"*&^$$%@*&! !!!!!~
CharFound   You swear at $N the best you can.~
OthersFound $n swears loudly at $N.~
VictFound   $n swears loudly at you: #@*"*&^$$%@*&! !!!!!~
CharAuto    You are right, you are a bastard.~
OthersAuto  $n swears at $mself. $e has finally realized that $e is a jerk.~
NotFound    Watch your tongue.  Lucky for you that no one could hear it.~
End

#SOCIAL
Name        curtsey~
CharNoArg   You curtsey to your audience.~
OthersNoArg $n curtseys gracefully.~
CharFound   You curtsey gracefully before $M.~
OthersFound $n curtseys gracefully before $N.~
VictFound   $n curtseys gracefully in front of you.~
CharAuto    You practice your curtsey.  How about trying it on someone else???~
OthersAuto  $n attempts to curtsey before $mself, but just falls on the ground.~
NotFound    Curtsey to who??~
End

#SOCIAL
Name        dance~
CharNoArg   Feels silly, doesn't it?~
OthersNoArg $n tries to breakdance, but nearly breaks $s neck!~
CharFound   You lead $M to the dancefloor.~
OthersFound $n sends $N across the dancefloor.~
VictFound   $n sends you across the dancefloor.~
CharAuto    You skip and dance around by yourself.~
OthersAuto  $n skips a light Fandango.~
NotFound    Eh, WHO?~
End

#SOCIAL
Name        daydream~
CharNoArg   You dream of better times.~
OthersNoArg $n looks absent-minded, $s eyes staring into space.~
End

#SOCIAL
Name        drool~
CharNoArg   You drool a little.~
OthersNoArg $n drools down $s front.~
CharFound   You can't help drooling a bit on $N.~
OthersFound $n drools all over $N.~
VictFound   $n drools all over you.  Maybe this is going a bit too far.~
CharAuto    You drool all over yourself.  Ah, what a relieving feeling!~
OthersAuto  $n drools all over $mself, in ecstasy.~
NotFound    Drool all you want.  That person is not here.~
End

#SOCIAL
Name        eh~
CharNoArg   You cup your ear, and look around.~
OthersNoArg $n cups $s ear, and bellows, 'EH?'~
CharFound   You cup your ear towards $m.~
OthersFound $n cups $s ear towards $N. Eh?~
VictFound   $n cups $s ear towards you. Eh?~
CharAuto    Can't even hear yourself talk?~
NotFound    No wonder you can't hear them--they are not here!~
End

#SOCIAL
Name        excellent~
CharNoArg   You get an evil gleam in your eyes and say, 'Excellent'~
OthersNoArg $n gets an evil gleam in $s eye and says 'Excellent'~
NotFound    You think to yourself, 'Excellent'~
End

#SOCIAL
Name        fart~
CharNoArg   Where are your manners ?~
OthersNoArg $n lets off a real rip-roarer !~
End

#SOCIAL
Name        finger~
CharNoArg   You flip the bird at no-one in particular.~
OthersNoArg $n gestures vehemently at the air around $m.~
CharFound   You flip the bird at $M.~
OthersFound $n flips the bird at $N.~
VictFound   $n gives you the finger!~
CharAuto    You make articulate hand gestures at yourself.~
OthersAuto  $n flips $mself the bird.~
NotFound    Flip the bird at whom?~
End

#SOCIAL
Name        flex~
CharNoArg   You flex your arms!~
OthersNoArg $n flexes $s arms!~
End

#SOCIAL
Name        flip~
CharNoArg   You flip head over heels.~
OthersNoArg $n flips head over heels.~
End

#SOCIAL
Name        fondle~
CharNoArg   Who needs to be fondled ?~
CharFound   You fondly fondle $M.~
OthersFound $n fondly fondles $N.~
VictFound   $n fondly fondles you.~
CharAuto    You fondly fondle yourself, feels funny doesn't it ?~
OthersAuto  $n fondly fondles $mself - this is going too far !!~
NotFound    You fondly try to fondle someone not in the room, but who cares.~
End

#SOCIAL
Name        french~
CharNoArg   Kiss whom ??~
CharFound   You give $N a long and passionate kiss, it seems to last forever...~
OthersFound $n kisses $N passionately.~
VictFound   $n gives you a long, slow, passion-filled kiss.~
CharAuto    You gather yourself in your arms and try to kiss you.~
OthersAuto  $n makes an attempt at kissing $mself.~
NotFound    Your heart is filled with despair as that person is not here.~
End

#SOCIAL
Name        frown~
CharNoArg   What's bothering you?~
OthersNoArg $n frowns.~
CharFound   You frown at $M.~
OthersFound $n frowns at $N.~
VictFound   You frown at somebody who isn't here.~
CharAuto    $n frowns at $mself, what an idiot.~
OthersAuto  ~
NotFound    You frown at yourself, what an idiot.~
End

#SOCIAL
Name        fume~
CharNoArg   Take it easy now! count to ten, very slowly.~
OthersNoArg $n grits $s teeth and fumes with rage.~
CharFound   You stare at $M, fuming.~
OthersFound $n stares at $N, fuming with rage.~
VictFound   $n stares at you, fuming with rage!~
CharAuto    That's right - hate yourself!~
OthersAuto  $n clenches $s fists and stomps $s feet, fuming with anger.~
NotFound    Fume away.. they ain't here.~
End

#SOCIAL
Name        gasp~
CharNoArg   You gasp in astonishment.~
OthersNoArg $n gasps in astonishment.~
CharFound   You gasp in astonishment at $M.~
OthersFound $n gasps in astonishment at $N.~
VictFound   You gasp in astonishment realizing you tried to gasp at nobody.~
CharAuto    $n gasps for breath.~
OthersAuto  ~
NotFound    You gasp for breath.~
End

#SOCIAL
Name        gaze~
CharNoArg   You gaze around the room, looking for something.~
OthersNoArg $n gazes around the room, looking for something.~
CharFound   You meet $M gaze from across the room.~
OthersFound $n meets $N gaze from across the room.~
VictFound   You meet $n's gaze from across the room.~
CharAuto    You gate longingly at yourself in a pocket mirror.~
OthersAuto  $n gazes longingly at $mself in a pocket mirror.~
NotFound    You look around, but they aren't here to gaze at.~
End

#SOCIAL
Name        giggle~
CharNoArg   You giggle.~
OthersNoArg $n giggles.~
End

#SOCIAL
Name        glare~
CharNoArg   You glare at nothing in particular.~
OthersNoArg $n glares around $m.~
CharFound   You glare icily at $M.~
OthersFound $n glares at $N.~
VictFound   $n glares icily at you, you feel cold to your bones.~
CharAuto    You glare icily at your feet, they are suddenly very cold.~
OthersAuto  $n glares at $s feet, what is bothering $m ?~
NotFound    You try to glare at somebody who is not present.~
End

#SOCIAL
Name        gloat~
CharNoArg   You walk around proudly, gloating about your accomplishments.~
OthersNoArg $n walks around proudly, gloating about $s accomplishments.~
CharFound   You stand before $M, gloating proudly.~
OthersFound $n stands before $N, gloating proudly.~
VictFound   $n stands before you, gloating proudly.~
CharAuto    What?  Let's maintain some dignity here!~
OthersAuto  $n gloats about $s accomplishments to $mself, what a loser!~
NotFound    They are glad they aren't here to listen to your drivel.~
End

#SOCIAL
Name        greet~
CharNoArg   Greet Who?~
OthersNoArg $n looks like $e wants to greet someone, but cant find anybody.~
CharFound   You greet $M with a light kiss on $S cheek.~
OthersFound $n greets $N with a light kiss on $S cheek.~
VictFound   $n greets you with a light kiss on your cheek.~
CharAuto    You attempt to greet yourself, but find you're not welcome.~
OthersAuto  $n give $mself a hearty greeting.~
NotFound    That person is just not here!~
End

#SOCIAL
Name        grin~
CharNoArg   You grin evilly.~
OthersNoArg $n grins evilly.~
End

#SOCIAL
Name        grit~
CharNoArg   You grit your teeth in disgust.~
OthersNoArg $n grits $s teeth in disgust.~
CharFound   You grit your teeth in disgust at $M.~
OthersFound $n grits $s teeth in disgust at $N.~
VictFound   $n grits $s teeth in disgust at you~
CharAuto    You grit your teeth in disgust of yourself, how could you do such a thing?~
OthersAuto  $n grits $s teeth in digust of $mself, such a bad person.~
NotFound    Grit at who?~
End

#SOCIAL
Name        groan~
CharNoArg   You groan loudly.~
OthersNoArg $n groans loudly.~
End

#SOCIAL
Name        grope~
CharNoArg   Whom do you wish to grope ??~
CharFound   Well, what sort of noise do you expect here ?~
OthersFound $n gropes $N.~
VictFound   $n gropes you.~
CharAuto    You grope yourself - YUCK.~
OthersAuto  $n gropes $mself - YUCK.~
NotFound    Try someone who's here.~
End

#SOCIAL
Name        grovel~
CharNoArg   You grovel in the dirt.~
OthersNoArg $n grovels in the dirt.~
CharFound   You grovel before $M~
OthersFound $n grovels in the dirt before $N.~
VictFound   $n grovels in the dirt before you.~
CharAuto    That seems a little silly to me..~
NotFound    Who?~
End

#SOCIAL
Name        growl~
CharNoArg   Grrrrrrrrrr...~
OthersNoArg $n growls.~
CharFound   you growl at $N.~
OthersFound $n growls at $N.~
VictFound   $n growls at you.~
CharAuto    You growl at yourself while chasing your tail.~
OthersAuto  $n growls at $mself and chases $s tail.~
NotFound    Eh?~
End

#SOCIAL
Name        gulp~
CharNoArg   You gulp uncomfortably.~
OthersNoArg $n gulps uncomfortably.~
End

#SOCIAL
Name        hiccup~
CharNoArg   *HIC*~
OthersNoArg $n hiccups.~
End

#SOCIAL
Name        hkiss~
CharNoArg   Whose would you like to kiss?~
OthersNoArg $n looks around for a hand to kiss.~
CharFound   You gallantly kiss $S hand.~
OthersFound $n gallantly kisses $N's hand.~
VictFound   $n gallantly kisses your hand.~
CharAuto    You vainly kiss your hand.~
OthersAuto  $n, in a display of despicable vanity, kisses $s hand.~
NotFound    Alas!  They are not here...~
End

#SOCIAL
Name        hop~
CharNoArg   You hop around like a kangaroo.~
OthersNoArg $n imitates a kangaroo and hops around, happily.~
CharFound   You grab $M and together you both hop around like kangaroos.~
OthersFound $n and $N hop around like kangaroos.~
VictFound   $n grabs you and you both hop around like kangaroos.~
CharAuto    You hop around the room with yourself.~
OthersAuto  $n attemps to play leapfrog with $mself, it's not working.~
NotFound    That person must have hopped away.~
End

#SOCIAL
Name        howl~
CharNoArg   You howl in rage!~
OthersNoArg $n howls in rage!~
CharFound   You howl in rage at $M.~
OthersFound $n howls in rage at $N.~
VictFound   $n howls in rage at you!~
CharAuto    You howl at the sky, AWOOOOOOOO!~
OthersAuto  $n howls loudly at the sky, AWOOOOOOOOOOO!~
NotFound    They aren't here to howl at, sorry!~
End

#SOCIAL
Name        hug~
CharNoArg   Hug who?~
CharFound   You hug $M.~
OthersFound $n hugs $N.~
VictFound   $n hugs you.~
CharAuto    You hug yourself.~
OthersAuto  $n hugs $mself.~
NotFound    Sorry, friend, I can't see that person here.~
End

#SOCIAL
Name        hum~
CharNoArg   You hum innocently.~
OthersNoArg $n hums innocently.~
End

#SOCIAL
Name        ignore~
CharNoArg   You make a point of ignoring everyone around you.~
OthersNoArg $n is clearly ignoring everyone around $m.~
CharFound   You make a point of ignoring $M.~
OthersFound $n is clearly ignoring $N.~
VictFound   $n is clearly ignoring you.~
CharAuto    I'm ignoring you too.~
OthersAuto  $n is ignoring $mself, you decide to ignore $m too.~
NotFound    *giggle*  They aren't here silly!~
End

#SOCIAL
Name        interrupt~
CharNoArg   Who would you like to interrupt?~
CharFound   You rudely interrupt $M.~
OthersFound $n rudely interrupts $N.~
VictFound   $n rudely interrupts you.~
CharAuto    What?  How would you do that?~
OthersAuto  $n rudely interrupts $mself, how rude!~
NotFound    Too bad.  They aren't here.~
End

#SOCIAL
Name        jump~
CharNoArg   You jump way high up in the air.~
OthersNoArg $n leaps high into the air.~
CharFound   You jump over $m.~
OthersFound $n jumps over $N's head!~
VictFound   $n jumps over you.~
CharAuto    You can't jump over your own head!~
NotFound    Jump whom?~
End

#SOCIAL
Name        kiss~
CharNoArg   You gently blow kisses into the air.~
OthersNoArg $n blows kisses into the thin air.  *SWAK*~
CharFound   You kiss $M.~
OthersFound $n kisses $N.~
VictFound   $n kisses you.~
CharAuto    All the lonely people... :(~
OthersAuto  $n kisses $mself, what a pathetic thing to do.~
NotFound    Never around when required.~
End

#SOCIAL
Name        kneel~
CharNoArg   You kneel on the ground.~
OthersNoArg $n kneels on the ground as if looking for something.~
CharFound   You kneel before $M.~
OthersFound $n kneels before $N on one knee.~
VictFound   $n kneels before you, and looks deep into your eyes.~
CharAuto    Kind of hard to do that isn't it ?~
NotFound    Who dost thou wish to kneel before?~
End

#SOCIAL
Name        knock~
CharNoArg   Which door or head would you like to knock on?~
CharFound   You knock on $S head, is anyone home?~
OthersFound $n knocks on $N's head, checking to see if anyone is home.~
VictFound   $n knocks on your head, anyone home?~
CharAuto    You knock on your head, anyone in there?~
OthersAuto  $n knocks on $s head, just to make sure that there is someone in there.~
NotFound    Nope, they just simply aren't here.~
End

#SOCIAL
Name        laugh~
CharNoArg   You laugh.~
OthersNoArg $n laughs.~
CharFound   You laugh at $N mercilessly.~
OthersFound $n laughs at $N mercilessly.~
VictFound   $n laughs at you mercilessly. Hmmmph.~
CharAuto    You laugh at yourself. I would, too.~
OthersAuto  $n laughs at $mself. Let's all join in!!!~
NotFound    Hmm, that person is nowhere around here.~
End

#SOCIAL
Name        lick~
CharNoArg   You lick your mouth and smile.~
OthersNoArg $n licks $s mouth and smiles.~
CharFound   You lick $M.~
OthersFound $n licks $N.~
VictFound   $n licks you.~
CharAuto    You lick yourself.~
OthersAuto  $n licks $mself - YUCK.~
NotFound    Lick away, nobody's here with that name.~
End

#SOCIAL
Name        liege~
CharNoArg   Liege Who?~
CharFound   You kneel before $M and say, 'My Liege!'~
OthersFound $n kneels before $N and says, 'My Liege!'~
VictFound   $n kneels before you and says, 'My Liege!'~
CharAuto    Liege yourself? How silly!~
NotFound    No-one around by that name.~
End

#SOCIAL
Name        listen~
CharNoArg   You listen attentively.~
OthersNoArg $n listens attentively.~
